Extraction Kit ,Purity,Sample
Boiling,0.61,9
Boiling,0.63,9
Boiling,0.62,9
Boiling,0.64,10
Boiling,0.63,10
Boiling,0.63,10
Boiling,0.68,11
Boiling,0.68,11
Boiling,0.70,11
Boiling,0.66,12
Boiling,0.69,12
Boiling,0.72,12
Boiling,0.64,9
Boiling,0.63,9
Boiling,0.63,9
Boiling,0.70,10
Boiling,0.66,10
Boiling,0.67,10
Boiling,0.69,11
Boiling,0.71,11
Boiling,0.64,11
Boiling,0.69,12
Boiling,0.64,12
Boiling,0.66,12
Boiling,0.63,9
Boiling,0.67,9
Boiling,0.63,9
Boiling,0.65,10
Boiling,0.67,10
Boiling,0.69,10
Boiling,0.69,11
Boiling,0.66,11
Boiling,0.81,11
Boiling,0.66,12
Boiling,0.75,12
Boiling,0.70,12
Qiagen Dneasy,2.85,9
Qiagen Dneasy,3.70,9
Qiagen Dneasy,1.77,9
Qiagen Dneasy,2.95,10
Qiagen Dneasy,2.56,10
Qiagen Dneasy,2.90,10
Qiagen Dneasy,3.38,11
Qiagen Dneasy,2.13,11
Qiagen Dneasy,3.06,11
Qiagen Dneasy,3.65,12
Qiagen Dneasy,3.23,12
Qiagen Dneasy,3.44,12
Qiagen Dneasy,2.08,9
Qiagen Dneasy,2.32,9
Qiagen Dneasy,2.35,9
Qiagen Dneasy,2.12,10
Qiagen Dneasy,2.91,10
Qiagen Dneasy,2.70,10
Qiagen Dneasy,0.71,11
Lucigen MasterPure,2.37,11
Lucigen MasterPure,2.34,11
Lucigen MasterPure,2.32,12
Lucigen MasterPure,2.27,12
Lucigen MasterPure,2.25,12
Lucigen MasterPure,2.35,9
Lucigen MasterPure,2.57,9
Lucigen MasterPure,2.46,9
Lucigen MasterPure,2.23,10
Lucigen MasterPure,2.31,10
Lucigen MasterPure,2.33,10
Lucigen MasterPure,2.41,11
Lucigen MasterPure,3.44,11
Lucigen MasterPure,2.98,11
Lucigen MasterPure,3.53,12
Lucigen MasterPure,3.33,12
Lucigen MasterPure,3.33,12
Lucigen MasterPure,4.06,9
Lucigen MasterPure,3.70,9
Lucigen MasterPure,3.43,9
Lucigen MasterPure,3.20,10
Lucigen MasterPure,3.62,10
Promega Wizard,4.87,10
Promega Wizard,3.60,11
Promega Wizard,4.12,11
Promega Wizard,3.45,11
Promega Wizard,3.76,12
Promega Wizard,4.60,12
Promega Wizard,7.27,12
Promega Wizard,4.26,9
Promega Wizard,6.54,9
Promega Wizard,4.31,9
Promega Wizard,3.34,10
Promega Wizard,3.21,10
Promega Wizard,2.23,10
Promega Wizard,2.81,11
Promega Wizard,5.21,11
Promega Wizard,5.72,11
Promega Wizard,4.32,12
Promega Wizard,4.37,12
NEB Monarch,0.75,12
NEB Monarch,0.35,9
NEB Monarch,0.89,9
NEB Monarch,0.80,9
NEB Monarch,1.02,10
NEB Monarch,0.42,10
NEB Monarch,0.61,10
NEB Monarch,1.66,11
NEB Monarch,1.25,11
NEB Monarch,1.71,11
NEB Monarch,0.73,12
NEB Monarch,0.35,12
NEB Monarch,1.66,12
NEB Monarch,1.71,9
NEB Monarch,2.63,9
NEB Monarch,2.08,9
NEB Monarch,0.61,10
NEB Monarch,0.34,10
NEB Monarch,0.46,10
NEB Monarch,0.33,11
NEB Monarch,0.13,11
NEB Monarch,1.35,11
NEB Monarch,0.48,12
NEB Monarch,0.02,12
NEB Monarch,1.32,12
NEB Monarch,0.40,9
NEB Monarch,1.45,9
NEB Monarch,1.02,9
NEB Monarch,1.06,10
NEB Monarch,0.67,10
NEB Monarch,0.85,10
NEB Monarch,0.53,11
NEB Monarch,0.51,11
NEB Monarch,2.32,11
NEB Monarch,0.41,12
NEB Monarch,0.55,12
Zymo Miniprep,0.53,12
Zymo Miniprep,1.10,9
Zymo Miniprep,0.58,9
Zymo Miniprep,0.82,9
Zymo Miniprep,1.80,10
Zymo Miniprep,0.44,10
Zymo Miniprep,0.47,10
Zymo Miniprep,0.37,11
Zymo Miniprep,0.81,11
Zymo Miniprep,0.79,11
Zymo Miniprep,0.60,12
Zymo Miniprep,0.40,12
Zymo Miniprep,1.48,12
Zymo Miniprep,1.19,9
Zymo Miniprep,0.65,9
Zymo Miniprep,0.44,9
Zymo Miniprep,0.77,10
Zymo Miniprep,0.34,10
Zymo Miniprep,0.96,10
Zymo Miniprep,0.76,11
Zymo Miniprep,1.40,11
Zymo Miniprep,1.05,11
Zymo Miniprep,0.96,12
Zymo Miniprep,0.81,12
Zymo Miniprep,1.51,12
Zymo Miniprep,0.57,9
Zymo Miniprep,0.77,9
Zymo Miniprep,0.13,9
Zymo Miniprep,0.12,10
Zymo Miniprep,0.60,10
Zymo Miniprep,0.47,10
Zymo Miniprep,0.50,11
Zymo Miniprep,0.46,11
Zymo Miniprep,0.07,11
Zymo Miniprep,0.48,12
Zymo Miniprep,0.03,12
NEB Monarch,1.73,12
NEB Monarch,1.34,9
NEB Monarch,1.69,9
NEB Monarch,1.65,9
NEB Monarch,1.83,10
NEB Monarch,1.62,10
NEB Monarch,1.63,10
NEB Monarch,1.57,11
NEB Monarch,1.81,11
NEB Monarch,1.90,11
NEB Monarch,1.59,12
NEB Monarch,1.82,12
NEB Monarch,1.62,12
Zymo Miniprep,1.57,9
Zymo Miniprep,1.43,9
Zymo Miniprep,1.46,9
Zymo Miniprep,1.54,10
Zymo Miniprep,1.29,10
Zymo Miniprep,1.55,10
Zymo Miniprep,1.51,11
Zymo Miniprep,1.79,11
Zymo Miniprep,1.66,11
Zymo Miniprep,1.58,12
Zymo Miniprep,1.49,12
Zymo Miniprep,1.72,12
Zymo Miniprep,1.68,9
Zymo Miniprep,1.54,9
Zymo Miniprep,1.37,9
Zymo Miniprep,1.48,10
Zymo Miniprep,1.67,10
Zymo Miniprep,1.58,10
Zymo Miniprep,1.68,11
Zymo Miniprep,1.61,11
Zymo Miniprep,1.70,11
Zymo Miniprep,1.64,12
Zymo Miniprep,1.64,12
Zymo Miniprep,1.61,12
Zymo Miniprep,1.79,9
Zymo Miniprep,1.73,9
Zymo Miniprep,1.82,9
Zymo Miniprep,1.86,10
Zymo Miniprep,1.77,10
Zymo Miniprep,1.77,10
Zymo Miniprep,1.84,11
Zymo Miniprep,1.78,11
Zymo Miniprep,1.80,11
Zymo Miniprep,1.78,12
Zymo Miniprep,1.80,12
Zymo Miniprep,2.16,12